"taxon_id","total","01","02","03","04","05","06","07","08","09","10","11","12"
148731,4,0,0,0,0,0,0,1,3,0,0,0,0
148734,15,1,0,0,2,2,0,0,1,3,5,1,0
148737,40,8,1,4,6,2,2,2,6,3,4,2,0
148740,39,0,1,1,1,3,1,3,0,2,6,20,1
148741,12,0,1,1,1,1,1,1,1,0,3,2,0
148748,11,0,2,1,1,1,0,1,2,1,0,2,0
148750,12,0,0,0,0,0,2,0,0,0,5,3,2
148751,45,2,2,3,5,9,3,3,10,6,2,0,0
148758,4,0,0,0,0,0,0,1,2,0,1,0,0
148766,16,2,1,1,0,0,0,1,3,2,1,4,1
148769,32,0,1,1,0,2,0,6,9,7,5,0,1
148771,2,1,0,0,0,0,0,0,0,0,0,0,1
148774,5,0,1,0,0,0,0,0,0,0,0,0,4
148781,3,0,0,0,0,0,0,1,1,0,1,0,0
148782,9,0,1,4,0,0,0,0,2,1,1,0,0
148783,3,1,0,0,0,0,0,0,0,1,1,0,0
148785,17,0,0,1,3,3,2,1,6,1,0,0,0
148786,27,0,1,0,0,1,1,5,3,3,4,3,6
148789,8,0,2,2,0,0,0,0,0,1,0,1,2
148791,35,0,0,5,3,2,3,3,5,6,6,2,0
148795,54,7,2,4,3,3,8,7,8,3,0,3,6
148798,5,0,0,1,3,0,0,1,0,0,0,0,0
148800,491,7,29,29,29,26,29,50,59,61,123,40,9
148801,85,4,0,1,8,6,9,21,10,4,7,9,6
148802,30,0,0,0,0,0,3,9,4,4,8,1,1
148804,107,4,9,13,9,9,1,9,12,10,12,9,10
148805,12,1,1,0,0,0,2,2,1,1,2,2,0
148812,8,0,0,0,0,0,1,2,2,3,0,0,0
148815,3,0,0,0,0,0,0,0,0,1,2,0,0
148816,69,10,9,5,4,3,1,2,5,4,5,6,15
148818,126,6,8,7,7,12,11,12,9,5,16,14,19
148819,16,3,1,2,0,1,2,1,2,0,1,0,3
148823,13,0,1,4,0,1,1,0,1,0,1,3,1
148831,117,6,3,8,6,5,5,9,3,11,27,28,6
148832,5,1,1,0,0,0,1,1,0,0,0,0,1
148834,11,0,0,2,2,0,3,2,2,0,0,0,0
148835,25,0,2,2,2,2,1,0,1,3,6,6,0
148837,33,0,1,2,4,5,2,3,7,5,3,1,0
148839,18,4,0,0,1,0,3,4,1,0,0,1,4
148843,5,0,0,0,0,0,0,1,0,1,3,0,0
148845,50,4,5,7,4,6,3,4,3,3,7,2,2
148849,6,1,0,0,1,0,0,1,1,2,0,0,0
148855,3,0,0,0,0,0,1,1,0,0,0,1,0
148856,146,6,6,9,9,3,10,24,38,18,10,4,9
148858,15,0,0,0,0,3,3,1,5,2,1,0,0
148860,17,0,0,1,0,0,1,2,0,0,4,8,1
148862,140,0,2,10,27,15,7,18,16,21,20,4,0
148866,31,0,0,0,0,0,4,5,19,3,0,0,0
148867,6,0,1,2,0,0,0,0,0,1,1,1,0
148871,25,4,1,2,1,0,0,0,0,0,8,8,1
148883,266,7,6,4,14,11,16,18,18,13,72,71,16
148893,5,0,0,0,0,0,0,0,1,0,0,4,0
154436,11,0,0,0,0,0,4,4,2,1,0,0,0
173418,8,0,0,0,1,1,0,3,3,0,0,0,0
174535,58,0,1,9,12,11,10,9,4,2,0,0,0
179300,25,0,0,0,0,0,0,10,3,11,1,0,0
179678,26,0,0,2,0,2,9,12,0,1,0,0,0
179855,131,9,4,11,12,3,18,14,13,15,24,7,1
181057,25,1,1,1,3,7,1,5,1,3,2,0,0
193874,67,7,1,0,5,3,9,7,5,4,3,12,11
194111,22,1,2,0,3,1,1,1,1,1,5,3,3
194335,50,3,5,11,8,2,1,0,2,4,7,6,1
196543,67,3,1,2,3,4,6,8,3,9,11,12,5
198800,46,0,0,0,0,0,5,33,6,2,0,0,0
198801,74,0,0,1,42,29,2,0,0,0,0,0,0
198803,43,0,0,0,0,0,2,41,0,0,0,0,0
198804,121,0,0,0,0,0,25,84,11,0,1,0,0
198805,51,0,0,0,0,0,8,43,0,0,0,0,0
198808,18,0,0,0,0,0,13,5,0,0,0,0,0
198815,4,0,0,0,0,4,0,0,0,0,0,0,0
198816,2,0,0,0,0,1,1,0,0,0,0,0,0
198817,13,0,0,3,5,5,0,0,0,0,0,0,0
198821,145,0,0,0,8,62,23,45,6,1,0,0,0
199292,12,0,0,1,2,3,4,1,1,0,0,0,0
199298,32,1,0,24,6,1,0,0,0,0,0,0,0
199461,37,6,4,2,2,2,0,0,1,3,3,8,6
199938,10,0,0,0,0,0,1,2,3,1,2,0,1
200624,3,0,0,1,0,0,0,1,0,0,0,1,0
202432,5,0,0,0,0,0,2,0,0,2,1,0,0
202451,224,6,6,8,6,22,33,32,31,23,26,23,8
203826,3,0,0,0,0,1,1,1,0,0,0,0,0
204096,67,0,6,7,8,9,10,14,8,3,0,2,0
204641,28,1,3,3,3,2,0,2,2,5,1,2,4
204689,75,0,0,1,0,4,16,36,9,7,1,1,0
204690,3,0,0,0,0,2,1,0,0,0,0,0,0
204691,6,0,0,0,0,0,0,0,1,0,2,3,0
204771,39,0,2,7,2,11,2,2,3,7,3,0,0
204773,14,0,0,0,3,1,3,1,1,1,2,2,0
204775,251,18,8,19,23,28,25,19,24,27,27,16,17
204779,8,0,1,0,3,1,0,0,1,1,0,1,0
204814,16,0,0,1,0,1,3,2,3,6,0,0,0
204855,2,0,1,0,0,0,1,0,0,0,0,0,0
205140,71,1,1,7,7,8,8,9,3,5,16,2,4
205152,59,2,1,3,3,3,2,0,1,1,8,29,6
205153,61,0,0,0,3,55,3,0,0,0,0,0,0
205174,26,1,0,2,1,0,4,5,5,3,3,1,1
205859,6,0,0,0,0,0,1,1,2,2,0,0,0
205905,3,0,1,1,0,0,0,0,1,0,0,0,0
209718,52,0,0,0,2,2,9,19,17,3,0,0,0
209719,5,0,0,1,4,0,0,0,0,0,0,0,0
209721,18,0,0,0,0,2,6,8,2,0,0,0,0
209725,41,0,0,0,1,1,16,20,3,0,0,0,0
209733,39,0,0,0,0,0,17,21,1,0,0,0,0
209741,27,0,0,0,1,4,3,6,6,6,1,0,0
210423,81,0,4,37,30,10,0,0,0,0,0,0,0
210814,11,0,1,1,3,0,6,0,0,0,0,0,0
212312,31,0,3,2,6,1,6,2,1,1,4,2,3
212511,3,0,0,0,0,0,0,1,0,2,0,0,0
212709,2,0,0,0,1,0,0,0,0,0,1,0,0
213331,44,0,0,1,4,5,0,12,14,5,3,0,0
213332,17,0,0,0,4,3,1,4,5,0,0,0,0
213333,1,0,0,0,1,0,0,0,0,0,0,0,0
213334,4,0,0,0,0,0,0,3,1,0,0,0,0
213335,4,0,0,0,0,0,2,0,2,0,0,0,0
213336,16,0,0,0,2,2,5,1,6,0,0,0,0
213338,35,0,0,1,0,11,17,4,2,0,0,0,0
213340,1,0,0,0,0,1,0,0,0,0,0,0,0
213341,57,1,1,2,10,11,10,4,6,8,4,0,0
213343,18,0,0,0,1,1,5,7,1,3,0,0,0
213345,4,0,0,0,2,2,0,0,0,0,0,0,0
213959,44,0,2,6,1,1,7,11,2,5,2,4,3
214375,59,7,6,3,7,4,3,10,2,2,7,3,5
214593,4,0,0,0,0,0,3,0,1,0,0,0,0
214595,9,0,0,0,1,4,0,0,3,1,0,0,0
214596,7,0,0,0,2,0,2,0,0,1,2,0,0
214598,6,0,0,1,4,1,0,0,0,0,0,0,0
214669,32,0,0,0,9,8,2,1,4,3,5,0,0
214670,45,0,0,0,0,8,26,8,2,1,0,0,0
215450,23,1,2,1,4,6,0,2,0,1,0,3,3
215770,1,0,0,0,1,0,0,0,0,0,0,0,0
215771,18,0,0,12,0,5,0,1,0,0,0,0,0
215772,29,0,0,0,8,18,3,0,0,0,0,0,0
217283,15,0,0,0,2,1,4,1,5,2,0,0,0
217284,1,0,0,0,0,0,1,0,0,0,0,0,0
217305,6,0,0,0,1,1,0,3,1,0,0,0,0
217391,2,0,0,0,0,0,1,1,0,0,0,0,0
217392,1,0,0,0,0,0,0,1,0,0,0,0,0
217395,2,0,0,0,0,0,0,1,1,0,0,0,0
217396,15,0,0,0,0,0,6,7,2,0,0,0,0
217398,1,0,0,0,0,0,0,1,0,0,0,0,0
217940,4,0,0,0,0,0,1,0,0,2,1,0,0
217941,4,0,0,0,0,1,2,0,0,0,0,0,1
218000,18,7,2,0,1,0,0,0,4,2,0,0,2
218185,10,0,1,1,1,0,0,0,0,0,1,6,0
218965,13,1,1,2,1,2,1,2,2,0,1,0,0
219291,16,1,9,4,0,0,0,0,0,0,1,1,0
219488,12,1,1,1,6,0,1,0,1,1,0,0,0
219496,6,0,1,2,0,0,2,1,0,0,0,0,0
219497,11,0,0,2,3,4,1,1,0,0,0,0,0
219499,11,1,1,0,1,1,3,1,1,1,1,0,0
219772,8,0,0,0,0,0,0,4,3,1,0,0,0
